Data_Coleta,Id,Date,Time,Home,Away,Round,League,Season,Odd_H,Odd_D,Odd_A,Odd_Over05_FT,Odd_Under05_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Media_GM_H,Media_GS_H,Media_P_H,Media_P_DH,Media_P_OH,Media_P_UH,Media_P_HSJ,Media_P_DHSJ,Media_P_OHSJ,Media_P_UHSJ,Media_Ptos_H,Media_SG_H,Media_PDN_SG_H,Media_VP_H,Media_VG_H,Media_VG_HS,Home_prob_M_0,Home_prob_M_1,Home_prob_M_2,Home_prob_M_3,Home_prob_S_0,Home_prob_S_1,Home_prob_S_2,Home_prob_S_3,Media_GM_A,Media_GS_A,Media_P_A,Media_P_DA,Media_P_OA,Media_P_UA,Media_P_ASJ,Media_P_DASJ,Media_P_OASJ,Media_P_UASJ,Media_Ptos_A,Media_SG_A,Media_PDN_SG_A,Media_VP_A,Media_VG_A,Media_VG_AS,Away_prob_M_0,Away_prob_M_1,Away_prob_M_2,Away_prob_M_3,Away_prob_S_0,Away_prob_S_1,Away_prob_S_2,Away_prob_S_3,P_H,P_D,P_A,P_O,P_U,A_D,DifAbs_HomeDraw,CV_Odds,Favorito,Prob_Home,Prob_Away,Over_Under,PONTDF,SALDF,GMDF,GMSDF,Equilibrio
2025-02-17 22:48:11,ANX1lB54,19/02/2025,16:45,Luton,Plymouth,ROUND 31,ENGLAND - CHAMPIONSHIP,2024/2025,1.73,3.6,4.75,1.07,9.0,2.05,1.68,1.91,1.8,1.18,1.29,2.05,1.0,0.8,0.47,0.31,0.47,0.58,0.44,0.29,0.45,0.55,1.6,0.2,0.0,0.41,0.26,0.24,0.77,0.2,0.03,0.0,0.79,0.19,0.02,0.0,0.0,2.4,0.17,0.21,0.62,0.43,0.16,0.2,0.59,0.41,0.2,-2.4,0.0,0.12,0.0,1.7,1.0,0.0,0.0,0.0,0.18,0.31,0.26,0.15,0.578,0.2778,0.2105,0.4878,0.5952,1.3194,1.87,0.45,Casa_Fav,Odd_Atual_Maior,Odd_Atual_Maior,TD_Under,PTS_CASA,,GM_Casa_M,GS_Fora_M,Desequilibrado
2025-02-17 22:57:40,0Im1hynA,19/02/2025,22:10,Once Caldas,Pereira,APERTURA ,COLOMBIA - PRIMERA A,2025,1.9,3.3,4.2,1.08,8.0,2.35,1.57,2.1,1.67,1.22,1.33,1.91,1.0,0.8,0.48,0.33,0.41,0.66,0.45,0.31,0.38,0.62,1.2,0.2,0.9999,0.36,0.29,0.17,0.75,0.22,0.03,0.0,0.84,0.14,0.01,0.0,1.0,1.2,0.22,0.32,0.37,0.69,0.21,0.3,0.35,0.65,1.2,-0.2,0.0,0.56,0.47,0.63,0.63,0.29,0.07,0.01,0.53,0.34,0.11,0.02,0.5263,0.303,0.2381,0.4255,0.6369,1.2727,1.4,0.37,Casa_Fav,Odd_Atual_Maior,Odd_Atual_Maior,TD_Under,PTS_fORA,SALDO_CASA,GM_Fora_M,GS_Fora_M,Desequilibrado
2025-02-17 22:57:50,rgPWhQl1,20/02/2025,20:30,U. Magdalena,Millonarios,APERTURA ,COLOMBIA - PRIMERA A,2025,3.3,2.8,2.45,1.14,5.5,3.1,1.36,2.38,1.53,1.53,1.4,1.33,1.6,1.6,0.43,0.32,0.43,0.63,0.41,0.3,0.4,0.6,1.4,0.0,-0.1905,0.5,0.5,0.45,0.61,0.3,0.08,0.01,0.64,0.29,0.06,0.01,1.4,0.4,0.4,0.33,0.39,0.67,0.37,0.31,0.37,0.63,1.8,1.0,0.0,0.56,0.38,0.14,0.68,0.26,0.05,0.01,0.87,0.12,0.01,0.0,0.303,0.3571,0.4082,0.3226,0.7353,0.875,0.5,0.15,Fora_Fav,Media_Maior,Odd_Atual_Maior,TD_Under,PTS_fORA,SALDO_fORA,GM_Casa_M,GS_Casa_M,Equilibrado
2025-02-17 20:25:27,8O4Sw7pA,21/02/2025,05:35,Newcastle Jets,Brisbane Roar,ROUND 20,AUSTRALIA - A-LEAGUE,2024/2025,2.05,3.7,3.4,1.03,17.0,1.57,2.38,1.5,2.5,1.3,1.29,1.73,0.8,1.8,0.31,0.26,0.63,0.42,0.3,0.25,0.6,0.4,0.2,-1.0,-0.7844,0.11,0.38,0.83,0.68,0.26,0.05,0.01,0.44,0.36,0.15,0.04,1.2,2.0,0.21,0.24,0.66,0.4,0.2,0.22,0.62,0.38,0.4,-0.8,-0.6667,0.23,0.68,1.19,0.51,0.34,0.12,0.03,0.3,0.36,0.22,0.09,0.4878,0.2703,0.2941,0.6369,0.4202,0.9189,1.65,0.29,Casa_Fav,Odd_Atual_Maior,Odd_Atual_Maior,TD_Over,PTS_fORA,SALDO_fORA,GM_Fora_M,GS_Fora_M,Equilibrado
2025-02-17 22:51:45,l8HYvLJG,21/02/2025,16:00,Bastia,Red Star,ROUND 24,FRANCE - LIGUE 2,2024/2025,1.73,3.5,4.5,1.07,8.5,2.1,1.7,2.0,1.73,1.18,1.29,2.05,1.8,0.6,0.46,0.31,0.44,0.62,0.43,0.29,0.42,0.58,1.8,1.2,0.6956,0.51,0.46,0.18,0.63,0.29,0.07,0.01,0.84,0.15,0.01,0.0,1.0,1.4,0.32,0.29,0.53,0.52,0.3,0.27,0.5,0.5,1.4,-0.4,0.0,0.63,0.5,0.69,0.61,0.3,0.08,0.01,0.5,0.35,0.12,0.03,0.578,0.2857,0.2222,0.4762,0.5882,1.2857,1.77,0.43,Casa_Fav,Odd_Atual_Maior,Media_Maior,TD_Under,PTS_fORA,SALDO_CASA,GM_Fora_M,GS_Fora_M,Desequilibrado
2025-02-17 22:51:55,htOPtsk4,21/02/2025,16:00,Dunkerque,Clermont,ROUND 24,FRANCE - LIGUE 2,2024/2025,2.0,3.0,3.9,1.08,7.5,2.2,1.65,1.91,1.8,1.25,1.36,1.8,1.8,0.6,0.44,0.31,0.49,0.57,0.41,0.29,0.46,0.54,2.4,1.2,-0.3922,0.72,0.56,0.2,0.57,0.32,0.09,0.02,0.82,0.16,0.02,0.0,0.8,1.0,0.4,0.32,0.44,0.61,0.36,0.29,0.42,0.58,1.8,-0.2,0.2105,0.64,0.29,0.39,0.75,0.22,0.03,0.0,0.68,0.26,0.05,0.01,0.5,0.3333,0.2564,0.4545,0.6061,1.3,1.0,0.32,Casa_Fav,Odd_Atual_Maior,Media_Maior,TD_Under,PTS_CASA,SALDO_fORA,GM_Casa_M,GS_Fora_M,Desequilibrado
2025-02-17 22:52:05,lfx0QL4N,21/02/2025,16:00,Grenoble,Guingamp,ROUND 24,FRANCE - LIGUE 2,2024/2025,,,,1.07,9.0,2.08,1.73,1.83,1.83,1.57,1.36,1.36,0.8,1.0,0.48,0.3,0.5,0.56,0.44,0.27,0.47,0.53,1.4,-0.2,0.1333,0.41,0.31,0.38,0.73,0.23,0.04,0.0,0.68,0.26,0.05,0.01,1.4,1.6,0.37,0.29,0.53,0.54,0.34,0.27,0.5,0.5,1.2,-0.2,1.2246,0.37,0.56,0.76,0.57,0.32,0.09,0.02,0.47,0.36,0.14,0.03,,,,0.4808,0.578,,,,,,,TD_Under,PTS_CASA,SALDO_fORA,GM_Fora_M,GS_Fora_M,Desequilibrado
2025-02-17 22:52:20,pGKHr3Ki,21/02/2025,16:00,Martigues,Annecy,ROUND 24,FRANCE - LIGUE 2,2024/2025,,,,1.08,8.25,2.1,1.75,1.88,1.87,1.7,1.29,1.37,0.0,1.8,0.24,0.29,0.51,0.55,0.23,0.26,0.48,0.52,0.0,-1.8,-0.5988,0.0,0.0,0.96,1.0,0.0,0.0,0.0,0.38,0.37,0.18,0.06,1.0,2.0,0.26,0.29,0.51,0.54,0.24,0.27,0.49,0.51,1.0,-1.0,0.3472,0.44,0.52,1.12,0.59,0.31,0.08,0.01,0.33,0.37,0.2,0.08,,,,0.4762,0.5714,,,,,,,TD_Under,PTS_fORA,SALDO_fORA,GM_Fora_M,GS_Fora_M,Desequilibrado
2025-02-17 22:52:40,bJ6KPPmA,21/02/2025,16:00,Paris FC,Troyes,ROUND 24,FRANCE - LIGUE 2,2024/2025,1.7,3.6,4.75,1.07,9.0,2.1,1.7,2.0,1.73,1.15,1.25,2.1,1.4,1.2,0.66,0.24,0.55,0.5,0.61,0.23,0.52,0.48,1.6,0.2,0.1905,0.3,0.25,0.2,0.78,0.19,0.02,0.0,0.82,0.16,0.02,0.0,1.6,0.8,0.32,0.29,0.52,0.53,0.29,0.27,0.5,0.5,1.8,0.8,-0.4167,0.77,0.64,0.44,0.53,0.34,0.11,0.02,0.64,0.28,0.06,0.01,0.5882,0.2778,0.2105,0.4762,0.5882,1.3194,1.9,0.46,Casa_Fav,Media_Maior,Media_Maior,TD_Under,PTS_fORA,SALDO_CASA,GM_Fora_M,GS_Fora_M,Desequilibrado
2025-02-17 22:52:56,4KsVKaSp,21/02/2025,16:00,Rodez,Amiens,ROUND 24,FRANCE - LIGUE 2,2024/2025,,,,1.06,10.0,1.87,1.87,1.8,1.91,1.15,1.25,2.0,2.2,1.4,0.43,0.28,0.58,0.47,0.4,0.26,0.55,0.45,2.0,0.8,0.3704,0.74,0.84,0.56,0.43,0.36,0.15,0.04,0.57,0.32,0.09,0.02,1.0,1.4,0.29,0.3,0.48,0.57,0.27,0.28,0.46,0.54,1.2,-0.4,-0.6061,0.54,0.45,0.67,0.64,0.29,0.06,0.01,0.51,0.34,0.11,0.03,,,,0.5348,0.5348,,,,,,,,PTS_CASA,SALDO_CASA,GM_Casa_M,GS_Fora_M,Desequilibrado
2025-02-17 22:29:32,IkWrItmT,21/02/2025,16:30,Malaga,Tenerife,ROUND 28,SPAIN - LALIGA2,2024/2025,,,,1.13,6.0,2.7,1.44,2.2,1.62,1.3,1.36,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3704,0.6944,,,,,,,TD_Under,,,,,Desequilibrado
2025-02-17 20:28:03,nNy6FnNN,21/02/2025,16:45,KV Mechelen,St. Truiden,ROUND 27,BELGIUM - JUPILER PRO LEAGUE,2024/2025,,,,1.03,15.0,1.62,2.25,1.57,2.25,1.29,1.29,1.8,1.2,0.8,0.46,0.26,0.58,0.48,0.42,0.24,0.55,0.45,1.2,0.4,0.0,0.3,0.38,0.41,0.68,0.26,0.05,0.01,0.66,0.27,0.06,0.01,0.8,3.2,0.21,0.26,0.58,0.48,0.2,0.24,0.55,0.45,0.0,-2.4,-0.5714,0.0,0.48,2.1,0.62,0.3,0.07,0.01,0.12,0.26,0.27,0.19,,,,0.6173,0.4444,,,,,,,TD_Over,PTS_CASA,SALDO_CASA,GM_Fora_M,GS_Fora_M,Desequilibrado
2025-02-17 22:48:21,v1pUdiBj,21/02/2025,16:45,Bristol City,Middlesbrough,ROUND 34,ENGLAND - CHAMPIONSHIP,2024/2025,2.25,3.4,3.1,1.05,11.0,1.9,1.95,1.67,2.1,1.36,1.3,1.62,2.0,0.2,0.6,0.26,0.51,0.54,0.56,0.25,0.49,0.51,2.6,1.8,0.2105,0.52,0.35,0.04,0.7,0.25,0.04,0.01,0.96,0.04,0.0,0.0,1.4,1.8,0.44,0.27,0.56,0.48,0.42,0.26,0.54,0.46,1.0,-0.4,-0.2439,0.32,0.42,0.63,0.66,0.28,0.06,0.01,0.53,0.34,0.11,0.02,0.4444,0.2941,0.3226,0.5263,0.5128,0.9118,1.15,0.2,Casa_Fav,Media_Maior,Media_Maior,TD_Over,PTS_CASA,SALDO_CASA,GM_Fora_M,GS_Fora_M,Equilibrado
2025-02-17 22:49:57,fR5MLkbs,21/02/2025,16:45,Rennes,Reims,ROUND 23,FRANCE - LIGUE 1,2024/2025,1.72,3.6,4.75,1.06,10.0,2.04,1.86,1.91,1.91,1.18,1.29,2.0,1.8,1.2,0.5,0.28,0.47,0.57,0.48,0.27,0.45,0.55,1.2,0.6,-0.2381,0.22,0.39,0.4,0.68,0.26,0.05,0.01,0.67,0.27,0.05,0.01,1.0,1.2,0.39,0.3,0.52,0.52,0.37,0.29,0.5,0.5,0.8,-0.2,-0.5882,0.25,0.29,0.4,0.75,0.22,0.03,0.0,0.67,0.27,0.05,0.01,0.5814,0.2778,0.2105,0.4902,0.5376,1.3194,1.88,0.46,Casa_Fav,Odd_Atual_Maior,Media_Maior,TD_Under,PTS_fORA,SALDO_CASA,GM_Casa_M,,Desequilibrado
